Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Número de Finca;Código;Nº Cámara;Cámara;LONGITUD;LATITUD;NOMBRE
439432,989;4473843,326;43439;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;10; Entrada;41 e;51;-3.7138669;40.4130081;MORERIA, CALLE, DE LA, 10
439426,4057;4473769,493;43434;01  CENTRO;01-01 PALACIO;YESEROS, CALLE, DE LOS;3; Salida;42 e;52;-3.7139374;40.4123424;YESEROS, CALLE, DE LOS, 3
439444,2807;4473711,076;43434;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;16; Entrada;43.1 e;53;-3.7137212;40.4118175;DON PEDRO, CALLE, DE, 16
439443,239;4473711,159;;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;16; Entrada;43.2 e;54;-3.7137335;40.4118182;DON PEDRO, CALLE, DE, 16
439389,9057;4473598,993;43435;01  CENTRO;01-01 PALACIO;SAN BUENAVENTURA, CALLE, DE;1; Entrada;44 e;55;-3.7143513;40.4108038;SAN BUENAVENTURA, CALLE, DE, 1
439449,5723;4473576,493;43434;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;15; Entrada;45 e;56;-3.7136461;40.4106055;SAN FRANCISCO, CARRERA, DE, 15
439455,6557;4473549,326;43435;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;42; Entrada;46 e;57;-3.7135717;40.4103612;CALATRAVA, CALLE, DE, 42
439432,8223;4473475,659;43437;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;5; Entrada;47 e;58;-3.7138339;40.4096959;ROSARIO, CALLE, DEL, 5
439510,6557;4473383,451;43434;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;25; Entrada;48 e;59;-3.7129078;40.4088709;AGUILA, CALLE, DEL, 25
439472,2807;4473350,326;43434;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;S/N; Entrada;49 e;60;-3.7133569;40.4085698;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA, S/N
439657,9612;4473262,798;43434;01  CENTRO;01-01 PALACIO;TOLEDO, CALLE, DE;104; Salida;50 s;61;-3.7111604;40.4077947;TOLEDO, CALLE, DE, 104
439812,0347;4473121,571;43434;01  CENTRO;01-02 EMBAJADORES;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL;6; Salida;51 s;62;-3.7093314;40.4065336;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL, 6
439993,0723;4473079,076;;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;S/N; Salida;52.1 s;63;-3.7071939;40.4061639;RIBERA DE CURTIDORES, CALLE, DE LA, S/N
439995,7978;4473079,514;43434;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;S/N; Salida;52.2 s;64;-3.7071618;40.406168;RIBERA DE CURTIDORES, CALLE, DE LA, S/N
439999,8223;4473080,743;;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;S/N; Salida;52.3 s;65;-3.7071146;40.4061794;RIBERA DE CURTIDORES, CALLE, DE LA, S/N
440421,3515;4473007,894;43434;01  CENTRO;01-02 EMBAJADORES;MIGUEL SERVET, CALLE, DE;25; Salida;53;66;-3.7021403;40.4055534;MIGUEL SERVET, CALLE, DE, 25
440504,7609;4473030,177;43441;01  CENTRO;01-02 EMBAJADORES;MESON DE PAREDES, CALLE, DEL;85; Salida;54 s;67;-3.7011594;40.4057601;MESON DE PAREDES, CALLE, DEL, 85
440577,4057;4473064,493;43434;01  CENTRO;01-02 EMBAJADORES;AMPARO, CALLE, DE;100; Salida;55 s;68;-3.7003065;40.4060744;AMPARO, CALLE, DE, 100
440780,489;4473140,409;43434;01  CENTRO;01-02 EMBAJADORES;MALLORCA, CALLE, DE;6; Salida;56 s;69;-3.6979204;40.4067728;MALLORCA, CALLE, DE, 6
440950,2807;4473200,576;43434;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;43; Salida;57 s;70;-3.6959251;40.4073269;ARGUMOSA, CALLE, DE, 43
441224,6557;4473418,951;43434;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;120; Salida;58.1 s;71;-3.6927118;40.4093135;ATOCHA, CALLE, DE, 120
441226,6557;4473421,451;43434;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;120; Salida;58.2 s;72;-3.6926885;40.4093362;ATOCHA, CALLE, DE, 120
441178,9057;4473589,826;43434;01  CENTRO;01-03 CORTES;ALMADEN, CALLE, DE;28; Salida;59 s;73;-3.6932668;40.4108496;ALMADEN, CALLE, DE, 28
441160,989;4473653,993;43434;01  CENTRO;01-03 CORTES;GOBERNADOR, CALLE, DEL;32; Salida;60 s;74;-3.6934839;40.4114264;GOBERNADOR, CALLE, DEL, 32
441036,739;4474021,826;43434;01  CENTRO;01-03 CORTES;CERVANTES, CALLE, DE;44; Salida;61 e;75;-3.6949823;40.4147312;CERVANTES, CALLE, DE, 44
441019,989;4474106,243;43434;01  CENTRO;01-03 CORTES;CORTES, PLAZA, DE LAS;6; Salida;62.1 s;76;-3.6951876;40.4154905;CORTES, PLAZA, DE LAS, 6
441020,989;4474109,576;43434;01  CENTRO;01-03 CORTES;CORTES, PLAZA, DE LAS;6; Salida;62.2 s;77;-3.6951761;40.4155206;CORTES, PLAZA, DE LAS, 6
441095,4057;4474504,409;43434;01  CENTRO;01-03 CORTES;ALCALA, CALLE, DE;S/N; Salida;63.1 s;78;-3.6943355;40.4190827;ALCALA, CALLE, DE, S/N
441094,6557;4474507,409;43434;01  CENTRO;01-03 CORTES;ALCALA, CALLE, DE;S/N; Salida;63.2 s;79;-3.6943446;40.4191097;ALCALA, CALLE, DE, S/N
441093,8223;4474510,243;43435;01  CENTRO;01-03 CORTES;ALCALA, CALLE, DE;51; Salida;63.3 s;80;-3.6943548;40.4191351;ALCALA, CALLE, DE, 51
