Parada;nodo Inter Urbano;TIPO MOBILIARIO (ACTUAL);DISTRITO;DIRECCIÓN;VIAL;Nº;emplazamiento;sentido;Direccion_completa;Coord ED50_X;Coord ED50_Y;CONT PILAS;nº_linea;X ETRS89 U.T.M.;Y ETRS89 U.T.M.;Longitud;Latitud
644;;MARQUESINA MOD XXI 4-M STD;LATINA;AVIACION;AV;0;ESQ C/ MEDINA DEL CAMPO;JOAQUIN TURINA;AVIACION, AV Nº0 ESQ C/ MEDINA DEL CAMPO JOAQUIN TURINA;433318,1;4470562,2;SI;39/139/N19/;433208,73;4470354,78;-3.7868563;40.3811059
2638;;MARQUESINA MOD XXI 4-M STD;LATINA;BOADILLA DEL MONTE;CTRA;42;FTE. Nº73;BOADILLA DEL MONTE;BOADILLA DEL MONTE, CTRA Nº42 FTE. Nº73 BOADILLA DEL MONTE;434307,5;4472567,7;SI;;434198,13;4472360,28;-3.7754085;40.3992509
2636;;MARQUESINA MOD XXI 4-M STD;LATINA;BOADILLA DEL MONTE;CTRA;0;FTE Nº 27;BOADILLA MONTE;BOADILLA DEL MONTE, CTRA Nº0 FTE Nº 27 BOADILLA MONTE;434783,5;4472562,4;SI;65/;434674,13;4472354,98;-3.7697993;40.3992406
1158;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;CARABANCHEL ALTO;AV;66;ESQ C/ DE LA PIÑA;LEGANES;CARABANCHEL ALTO, AV Nº66 ESQ C/ DE LA PIÑA LEGANES;436155,7;4469262;SI;35/47/N17/481/482/491/492/493/N803/N804/;436046,29;4469054,55;-3.7532998;40.3696154
7567;7567;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;CARABANCHEL ALTO;AV;136;-;LEGANES;CARABANCHEL ALTO, AV Nº136 - LEGANES;436105;4468634,9;SI;481/482/491/492/493/N803/N804/;435995,59;4468427,45;-3.753834;40.3639623
7571;7571;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;CARABANCHEL ALTO;AV;92;ESQ C/ ALLARIZ;LEGANES;CARABANCHEL ALTO, AV Nº92 ESQ C/ ALLARIZ LEGANES;436139,9;4469052,7;SI;481/482/491/492/493/N803/N804/;436030,49;4468845,25;-3.7534649;40.3677288
354;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;DON BOSCO;RDA;0;ESQ C/ AZCOITIA;JOAQUIN TURINA;DON BOSCO, RDA Nº0 ESQ C/ AZCOITIA JOAQUIN TURINA;436156,5;4469814,2;SI;;436047,1;4469606,75;-3.7533457;40.37459
353;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;DON BOSCO;RDA;0;FTE Nº 1;JOAQUIN TURINA;DON BOSCO, RDA Nº0 FTE Nº 1 JOAQUIN TURINA;436323,5;4469936,4;SI;34/139/;436214,1;4469728,95;-3.7513908;40.3757036
1163;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;MARIANISTAS;CALLE;1;ESQ C/ GOMEZ DE ARTECHE;AV. CARABANCHEL ALTO;MARIANISTAS, CALLE Nº1 ESQ C/ GOMEZ DE ARTECHE AV. CARABANCHEL ALTO;435765;4469126,2;SI;35/47/;435655,59;4468918,76;-3.7578877;40.3683621
560;;MARQUESINA MOD XXI 4-M REDUCIDA;CARABANCHEL;VIA CARPETANA;CALLE;81;ESQ C/ DEL MOCHUELO;Pº ERMITA SANTO;VIA CARPETANA, CALLE Nº81 ESQ C/ DEL MOCHUELO Pº ERMITA SANTO;437511,1;4472191,3;SI;17/25/N16/;437401,7;4471983,85;-3.7376237;40.3961068
1455;;MARQUESINA MOD XXI 4-M STD;LATINA;CARAMUEL;CALLE;31;FTE Nº 32;Pº EXTREMADURA;CARAMUEL, CALLE Nº31 FTE Nº 32 Pº EXTREMADURA;438436,1;4473784,6;SI;138/;438326,7;4473577,14;-3.7268793;40.4105289
2549;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;NTRA. SRA. DE VALVANERA;AV;0;ESQ C/TORTOLA;GTA LOS CARMENES;NTRA. SRA. DE VALVANERA, AV Nº0 ESQ C/TORTOLA GTA LOS CARMENES;437627,3;4471577,7;SI;55/N16/;437517,9;4471370,24;-3.7361944;40.3905879
2550;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;NTRA. SRA. DE VALVANERA;AV;0;FTE C/TORTOLA;C/ LA OCA;NTRA. SRA. DE VALVANERA, AV Nº0 FTE C/TORTOLA C/ LA OCA;437654,2;4471539,9;SI;55/N16/;437544,8;4471332,44;-3.7358738;40.3902493
2552;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;NTRA. SRA. DE VALVANERA;AV;101;ESQ C/ALGODRE;C/LA OCA;NTRA. SRA. DE VALVANERA, AV Nº101 ESQ C/ALGODRE C/LA OCA;437446,8;4471678,8;SI;55/N16/;437337,4;4471471,35;-3.7383309;40.3914851
3060;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;LEGANES;Cº Vº;89;-;C/ GRAL. RICARDOS;LEGANES, Cº Vº Nº89 - C/ GRAL. RICARDOS;438412,8;4471338,1;SI;118/;438303,39;4471130,64;-3.7269169;40.388488
4595;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;CAMINO VIEJO DE LEGANES;;188;ANTES AV ABRANTES;AV ABRANTES;CAMINO VIEJO DE LEGANES Nº188 ANTES AV ABRANTES AV ABRANTES;437777,3;4470044,7;SI;118/N16/;437667,89;4469837,24;-3.7342773;40.3767891
3039;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;CAMINO VIEJO DE LEGANES;;0;FTE Nº 162;C/ GENERAL RICARDOS;CAMINO VIEJO DE LEGANES Nº0 FTE Nº 162 C/ GENERAL RICARDOS;437999,7;4470448,1;SI;118/;437890,29;4470240,64;-3.7316969;40.3804397
2467;;MARQUESINA MOD XXI 4-M REDUCIDA;CARABANCHEL;CLARA CAMPOAMOR;CALLE;0;FTE Nº 15;C/ CARCASTILLO;CLARA CAMPOAMOR, CALLE Nº0 FTE Nº 15 C/ CARCASTILLO;437844,5;4470942,2;SI;247/;437735,09;4470734,74;-3.7335734;40.3848792
2469;;MARQUESINA MOD XXI 4-M REDUCIDA;CARABANCHEL;TARIFA;PZA;4;ESQ C/ ALVAREZ DE AVELLAN;Cº Vº LEGANES;TARIFA, PZA Nº4 ESQ C/ ALVAREZ DE AVELLAN Cº Vº LEGANES;438115,1;4470823,4;SI;247/;438005,69;4470615,94;-3.7303741;40.3838292
1152;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;NTRA. SRA. DE FATIMA;AV;82;FTE CAMPO DE LA MINA;EUGENIA MONTIJO;NTRA. SRA. DE FATIMA, AV Nº82 FTE CAMPO DE LA MINA EUGENIA MONTIJO;436626,2;4470684,7;SI;35/N17/481/486/;436516,8;4470477,25;-3.7478999;40.3824677
1154;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;NTRA. SRA. DE FATIMA;AV;92;DESP.C/CODORNIZ;C/EUGENIA MONTIJO;NTRA. SRA. DE FATIMA, AV Nº92 DESP.C/CODORNIZ C/EUGENIA MONTIJO;436560;4470446;SI;35/N17/;436450,6;4470238,55;-3.7486559;40.3803124
3163;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;ZAIDA;CALLE;28;ANTES C/ EL TOBOSO;C/ DE LA OCA;ZAIDA, CALLE Nº28 ANTES C/ EL TOBOSO C/ DE LA OCA;437642,2;4471901,2;SI;119/;437532,8;4471693,74;-3.7360506;40.3935032
3157;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;BLASA PEREZ;CALLE;0;FTE Nº 4;GRAL. RICARDOS;BLASA PEREZ, CALLE Nº0 FTE Nº 4 GRAL. RICARDOS;438412,7;4471743,6;SI;119/;438303,3;4471536,14;-3.7269572;40.3921409
